Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Direction
LOC140034354	135.638703628177	3.57573628304907	0.411266016073989	8.69446086789183	3.48480475476053e-18	1.41848977542527e-13	Up
LOC140009071	149.225122968396	3.44557371169496	0.408389046112105	8.43698856396146	3.25618308932875e-17	6.62714663255634e-13	Up
LOC140034035	138.323444107475	3.50552322733405	0.430918702210679	8.13499903659361	4.11941625047492e-16	5.58936128251938e-12	Up
LOC140008277	305.558950682004	3.47461590386705	0.433945667078792	8.00702983683938	1.17511987924223e-15	9.56665093691097e-12	Up
LOC140011828	164.427097825559	3.58753881322506	0.44700988906397	8.02563634718975	1.01001005870618e-15	9.56665093691097e-12	Up
LOC140028221	74.2834315479754	3.90309174073889	0.497971630378997	7.8379801230209	4.57851468351232e-15	3.10614066987282e-11	Up
LOC140011916	61.4003716942429	4.15961962309854	0.545150189178797	7.63022687264312	2.34340943009249e-14	1.36269258359878e-10	Up
LOC140034296	117.520609386499	3.15983299179913	0.422909950964877	7.47164493195281	7.91984734408521e-14	4.02971732676236e-10	Up
LOC140034015	159.240973120595	3.21641855279708	0.433435631617657	7.42075251356897	1.16456748323405e-13	5.26707993389354e-10	Up
LOC140028282	46.8187646562867	3.56940028985165	0.484981417875506	7.35987021005392	1.84089128401508e-13	6.81213451962125e-10	Up
LOC140034280	41.7550400848163	4.45342008153203	0.604785820253787	7.36363177242355	1.78972955439672e-13	6.81213451962125e-10	Up
LOC140027138	40.6951606006351	4.2500417725167	0.579445653418738	7.33466848433739	2.22270986110493e-13	7.53961707468969e-10	Up
LOC140009083	88.6682674726651	3.93371762385379	0.538208885963692	7.30890501149987	2.69328068209855e-13	8.35583077174406e-10	Up
LOC140027572	127.454928031462	4.01572106596874	0.55008541865747	7.30017726295935	2.87388848555256e-13	8.35583077174406e-10	Up
LOC113690161	386.353114544622	2.34301378364968	0.321673439836885	7.2838273027384	3.24480341103009e-13	8.80531485639866e-10	Up
LOC140011845	37.1851523027719	3.70111998021721	0.510345933940443	7.25217883414964	4.10119874679846e-13	1.0433705936777e-09	Up
LOC140012054	108.448798985058	3.3889771714664	0.469317394722386	7.22107727004465	5.15773338132668e-13	1.23497374874648e-09	Up
LOC140027835	182.323571171197	3.22979093221909	0.450745224681617	7.1654468097814	7.7533256630991e-13	1.75332845064694e-09	Up
LOC113702795	351.410647413908	1.45241427022877	0.204179604756509	7.11341503457615	1.13206189208759e-12	2.42529364828555e-09	Up
LOC113690378	123.462615292772	1.93466464027072	0.272765979629442	7.09276370498622	1.3145981426949e-12	2.500915581276e-09	Up
LOC113696040	408.90397268207	2.99794009051426	0.422452867002343	7.09650785846752	1.27948674867946e-12	2.500915581276e-09	Up
LOC140011970	86.7145536729157	3.74156046162472	0.527804429573438	7.08891447661511	1.35168020606982e-12	2.500915581276e-09	Up
LOC140011883	94.8976913318933	3.39404372751864	0.482011473510776	7.04141688329078	1.9029471813781e-12	3.36780282686936e-09	Up
LOC140027044	41.2079903360557	3.87390972434869	0.553757748837541	6.99567587538211	2.63983194026745e-12	4.47726496369111e-09	Up
LOC140027444	75.771515262563	2.93755989927834	0.422688436039609	6.94970490984302	3.66051078809e-12	5.96004366516813e-09	Up
LOC140011912	148.243670316098	3.35356655422931	0.48473396244035	6.91836515301317	4.56885395109297e-12	7.15289231073998e-09	Up
LOC140009120	104.592106579697	4.09180909693206	0.592479720965627	6.90624328924407	4.97656229548622e-12	7.50262845325062e-09	Up
LOC140011778	102.439519310073	3.86808042829767	0.567330515238353	6.81803697210358	9.22928940110995e-12	1.34170794668636e-08	Up
LOC140028046	39.9652667209255	5.00059870703227	0.743233412752458	6.72816725033024	1.71813371297194e-11	2.41160802712148e-08	Up
LOC140033397	46.7149582536751	3.56998866322081	0.532177496378717	6.70826686117572	1.96949515156874e-11	2.67227667148686e-08	Up
LOC140033472	61.388034449496	3.8688084301077	0.57875140031313	6.68475001186088	2.31319174496303e-11	3.01243131608605e-08	Up
LOC140034497	137.962862369819	3.4213824411619	0.512082807809585	6.6813069858696	2.3682054321276e-11	3.01243131608605e-08	Up
LOC140011962	89.2651577501694	3.52793657243081	0.532225008993458	6.62865613756639	3.38756679323092e-11	4.17851231268075e-08	Up
LOC140026719	33.1946984676789	4.17430527826886	0.630817713953979	6.61729242209168	3.65837383952819e-11	4.37982668052926e-08	Up
